iter	Passed	Remaining
721	8384	3228
722	8397	3217
723	8409	3205
724	8421	3194
725	8431	3182
726	8442	3170
727	8453	3158
728	8463	3146
729	8474	3134
730	8486	3122
731	8496	3110
732	8510	3099
733	8522	3088
734	8534	3077
735	8546	3065
736	8556	3053
737	8567	3041
738	8578	3029
739	8590	3018
740	8600	3006
741	8613	2994
742	8625	2983
743	8637	2971
744	8648	2960
745	8659	2948
746	8671	2936
747	8682	2925
748	8695	2913
749	8706	2902
750	8719	2891
751	8731	2879
752	8745	2868
753	8757	2857
754	8769	2845
755	8781	2834
756	8793	2822
757	8805	2811
758	8817	2799
759	8829	2788
760	8842	2777
761	8853	2765
762	8866	2754
763	8879	2742
764	8891	2731
765	8905	2720
766	8917	2708
767	8928	2697
768	8942	2686
769	8955	2674
770	8966	2663
771	8977	2651
772	8989	2639
773	9001	2628
774	9013	2616
775	9025	2605
776	9038	2594
777	9049	2582
778	9061	2570
779	9072	2558
780	9082	2546
781	9094	2535
782	9104	2523
783	9115	2511
784	9127	2499
785	9139	2488
786	9152	2477
787	9164	2465
788	9175	2453
789	9186	2442
790	9198	2430
791	9210	2418
792	9221	2407
793	9234	2395
794	9246	2384
795	9258	2372
796	9268	2360
797	9279	2348
798	9290	2337
799	9302	2325
800	9312	2313
801	9324	2302
802	9338	2290
803	9351	2279
804	9362	2267
805	9374	2256
806	9385	2244
807	9397	2233
808	9409	2221
809	9422	2210
810	9434	2198
811	9446	2187
812	9458	2175
813	9468	2163
814	9480	2151
815	9490	2139
816	9501	2128
817	9514	2116
818	9526	2105
819	9537	2093
820	9549	2082
821	9561	2070
822	9572	2058
823	9584	2047
824	9595	2035
825	9606	2023
826	9619	2012
827	9630	2000
828	9641	1988
829	9653	1977
830	9665	1965
831	9675	1953
832	9686	1941
833	9696	1929
834	9708	1918
835	9720	1906
836	9731	1895
837	9742	1883
838	9754	1871
839	9766	1860
840	9779	1848
841	9789	1837
842	9801	1825
843	9812	1813
844	9823	1801
845	9833	1789
846	9844	1778
847	9857	1766
848	9869	1755
849	9880	1743
850	9890	1731
851	9901	1719
852	9912	1708
853	9924	1696
854	9934	1684
855	9946	1673
856	9958	1661
857	9970	1650
858	9982	1638
859	9994	1626
860	10005	1615
861	10017	1603
862	10028	1592
863	10040	1580
864	10052	1568
865	10065	1557
866	10076	1545
867	10090	1534
868	10103	1523
869	10114	1511
870	10127	1499
871	10140	1488
872	10153	1477
873	10166	1465
874	10180	1454
875	10192	1442
876	10204	1431
877	10217	1419
878	10229	1408
879	10240	1396
880	10253	1385
881	10266	1373
882	10278	1361
883	10291	1350
884	10304	1338
885	10316	1327
886	10327	1315
887	10338	1304
888	10350	1292
889	10362	1280
890	10374	1269
891	10387	1257
892	10399	1246
893	10411	1234
894	10423	1222
895	10434	1211
896	10445	1199
897	10457	1187
898	10470	1176
899	10481	1164
900	10493	1153
901	10505	1141
902	10515	1129
903	10526	1117
904	10537	1106
905	10548	1094
906	10559	1082
907	10571	1071
908	10582	1059
909	10595	1047
910	10606	1036
911	10617	1024
912	10629	1012
913	10639	1001
